company_reg_number,cc_agreed_limit,cc_balance_limit_ratio,cc_missed_payments,missed_payments_number
20000504,23400.28911044945,9.254,0.0,0
20000504,23400.28911044945,7.25,0.0,0
20000504,17550.216832837086,11.845,0.0,1
20000440,24076.918183897957,9.806,0.0,1
20000440,32102.557578530603,10.193,0.0,0
20000440,32102.557578530603,21.027,0.0,0
20000990,64107.42805864255,12.557,3.0,3
20000990,48080.57104398191,8.608,6.0,6
20000990,64107.42805864255,11.336,6.0,6
20000847,8303.203921174738,7.902,0.0,0
20000847,11070.938561566318,10.003,0.0,0
20000847,8303.203921174738,7.691,0.0,1
20000847,8303.203921174738,10.772,0.0,1
20000065,3904.677220775558,9.379,0.0,1
20000065,2928.5079155816684,7.426,0.0,0
20000065,2928.5079155816684,11.491,0.0,0
20000065,2928.5079155816684,10.05,0.0,0
20000940,13564.099649895232,17.259,0.0,1
20000940,13564.099649895232,9.875,0.0,1
20000940,13564.099649895232,19.113,0.0,0
20000514,245334.3761596852,13.108,0.0,1
20000514,245334.3761596852,14.091,0.0,0
20000047,176033.15368980134,12.348,0.0,0
20000047,176033.15368980134,14.689,0.0,0
20000047,176033.15368980134,10.736,0.0,0
20000923,65856.36399247125,12.739,0.0,0
20000923,87808.485323295,14.62,0.0,1
20000923,87808.485323295,13.317,0.0,0
20000923,87808.485323295,10.224,0.0,0
20000881,4371.040005303244,7.467,0.0,1
20000881,4371.040005303244,22.322,0.0,0
20000312,2072.296705712536,19.551,0.0,0
20000441,1501.149202245333,8.938,0.0,0
20000441,1501.149202245333,10.946,0.0,1
20000418,41730.85438357763,18.62,9.0,9
20000418,41730.85438357763,20.482,0.0,0
20000418,31298.140787683224,19.92,0.0,1
20000418,41730.85438357763,20.479,0.0,0
20000418,41730.85438357763,17.221,0.0,0
20000418,41730.85438357763,19.831,0.0,0
20000955,227200.0739803424,23.421,0.0,0
20000955,227200.0739803424,25.957,11.0,11
20000955,227200.0739803424,25.638,8.0,8
20000955,170400.05548525677,23.023,0.0,0
20000967,61987.95295106775,11.144,0.0,1
20000967,46490.96471330081,7.968,0.0,0
20000967,46490.96471330081,10.468,-2.0,1
20000967,61987.95295106775,11.347,0.0,1
20000415,201206.8360186681,11.399,-4.0,1
20000415,201206.8360186681,14.045,0.0,1
20000415,201206.8360186681,12.663,0.0,1
20000415,201206.8360186681,11.453,0.0,1
20000415,201206.8360186681,12.41,0.0,1
20000415,201206.8360186681,10.436,0.0,0
20000328,54480.04994362663,19.307,0.0,0
20000328,54480.04994362663,20.246,0.0,1
20000328,54480.04994362663,22.011,0.0,1
20000328,54480.04994362663,20.573,0.0,0
20000474,79854.58251559161,23.485,0.0,1
20000474,79854.58251559161,28.755,9.0,9
20000474,79854.58251559161,26.268,0.0,0
20000474,59890.93688669371,22.812,0.0,1
20000980,61814.9269403664,18.919,7.0,7
20000980,46361.1952052748,19.253,0.0,1
20000980,61814.9269403664,21.488,6.0,6
20000980,46361.1952052748,17.924,13.0,13
20000799,40342.522911568616,20.6,0.0,0
20000799,40342.522911568616,21.81,0.0,1
20000799,53790.03054875816,17.947,0.0,0
20000799,53790.03054875816,22.058,0.0,1
20000799,53790.03054875816,17.891,0.0,0
20000799,40342.522911568616,17.047,0.0,1
20000510,78415.17366068448,14.273,0.0,0
20000510,78415.17366068448,13.924,0.0,0
20000510,58811.38024551336,7.364,0.0,1
20000510,58811.38024551336,7.917,0.0,1
20000973,33112.767122971985,21.514,0.0,0
20000973,24834.57534222899,17.773,0.0,0
20000973,24834.57534222899,19.039,6.0,6
20000703,320170.49035378115,28.892,0.0,0
20000870,106449.91866269193,26.386,0.0,0
20000870,106449.91866269193,25.781,0.0,0
20000870,141933.22488358922,26.725,0.0,1
20000459,218565.78780087092,11.138,0.0,0
20000459,218565.78780087092,10.796,0.0,0
20000459,291421.05040116125,11.601,0.0,0
20000172,120874.38490772044,26.12,5.0,5
20000172,90655.78868079033,22.807,0.0,0
20000172,90655.78868079033,27.833,0.0,0
20000172,90655.78868079033,25.779,12.0,12
20000172,120874.38490772044,27.388,0.0,1
20000172,90655.78868079033,28.235,0.0,1
20000938,31855.139071392237,18.256,0.0,1
20000938,42473.51876185632,20.055,0.0,0
20000938,42473.51876185632,19.442,9.0,9
20000938,42473.51876185632,19.069,10.0,10
20000250,285831.6269723704,22.193,5.0,5
20000250,285831.6269723704,28.884,0.0,1
20000250,285831.6269723704,23.453,0.0,0
20000187,215078.3796991064,13.375,0.0,0
20000593,43170.511321817125,10.379,-3.0,0
20000593,43170.511321817125,10.403,0.0,1
20000593,32377.88349136284,7.286,0.0,0
20000593,43170.511321817125,7.958,0.0,1
20000593,32377.88349136284,9.557,0.0,1
20000593,32377.88349136284,8.026,0.0,0
20000867,20335.536061309565,9.786,0.0,0
20000867,20335.536061309565,21.781,0.0,0
20000867,27114.048081746085,9.533,0.0,1
20000867,27114.048081746085,9.371,0.0,0
20000867,27114.048081746085,8.966,0.0,0
20000867,27114.048081746085,11.506,7.0,7
20000207,72426.84541728858,26.753,9.0,9
20000207,72426.84541728858,24.898,11.0,11
20000207,72426.84541728858,28.887,0.0,1
20000153,256654.87752596996,26.545,5.0,5
20000153,192491.15814447743,27.484,0.0,0
20000153,256654.87752596996,26.556,0.0,0
20000962,131376.3034017801,22.759,0.0,1
20000962,98532.22755133508,28.629,0.0,0
20000962,98532.22755133508,27.393,0.0,1
20000962,131376.3034017801,24.024,0.0,0
20000962,131376.3034017801,23.026,0.0,1
20000962,131376.3034017801,27.857,0.0,0
20000957,22965.62257440821,7.102,0.0,0
20000957,30620.83009921095,7.107,0.0,0
20000957,30620.83009921095,10.141,-6.0,0
20000957,30620.83009921095,10.739,0.0,0
20000957,22965.62257440821,11.591,0.0,1
20000957,30620.83009921095,8.685,0.0,1
20000550,83516.88433502192,27.232,0.0,0
20000550,83516.88433502192,23.523,13.0,13
20000550,83516.88433502192,25.699,0.0,1
20000550,83516.88433502192,26.1,0.0,0
20000523,67982.44983647813,11.489,0.0,1
20000523,67982.44983647813,13.054,0.0,1
20000523,67982.44983647813,11.291,3.0,3
20000523,67982.44983647813,14.136,0.0,0
20000523,67982.44983647813,14.957,0.0,0
20000523,50986.8373773586,10.032,0.0,0
20000994,468722.5638708242,10.608,2.0,2
20000156,97039.88524045602,26.411,0.0,1
20000156,97039.88524045602,22.483,0.0,1
20000156,97039.88524045602,26.77,9.0,9
20000410,57343.97566813688,19.683,6.0,6
20000410,43007.98175110266,19.078,0.0,1
20000410,57343.97566813688,21.442,0.0,0
20000410,57343.97566813688,17.92,0.0,1
20000053,141622.47569533816,10.738,0.0,1
20000053,141622.47569533816,12.703,0.0,1
20000053,141622.47569533816,24.286,0.0,1
20000112,38681.63717319677,8.413,0.0,0
20000112,38681.63717319677,9.887,-6.0,1
20000112,51575.51623092903,8.752,0.0,1
20000112,51575.51623092903,11.128,0.0,0
20000112,38681.63717319677,9.835,0.0,0
20000112,51575.51623092903,9.378,0.0,0
20000464,77773.45039444287,23.468,0.0,0
20000464,77773.45039444287,22.439,6.0,6
20000464,77773.45039444287,23.442,0.0,0
20000464,77773.45039444287,24.6,0.0,1
20000331,190194.34310226527,23.296,0.0,1
20000762,29735.916127563934,19.279,0.0,0
20000762,22301.937095672954,19.272,8.0,8
20000762,22301.937095672954,21.289,0.0,1
20000762,22301.937095672954,20.746,0.0,0
20000077,63658.76352454408,11.785,0.0,0
20000077,84878.35136605878,14.919,0.0,1
20000077,84878.35136605878,11.474,0.0,0
20000104,84593.05244057626,13.35,0.0,0
20000104,84593.05244057626,14.593,-2.0,0
20000104,112790.736587435,10.122,0.0,0
20000104,84593.05244057626,10.986,0.0,0
20000852,96176.89253734138,25.319,0.0,1
20000852,96176.89253734138,27.581,0.0,0
20000852,72132.66940300603,26.609,0.0,0
20000852,72132.66940300603,27.835,0.0,0
20000801,203466.92885408935,23.259,7.0,7
20000354,51992.789133115286,17.6,0.0,1
20000354,51992.789133115286,22.489,0.0,1
20000354,51992.789133115286,19.12,0.0,1
20000354,38994.59184983646,21.43,0.0,1
20000505,85943.24172971681,14.012,0.0,0
20000505,85943.24172971681,13.384,0.0,1
20000505,64457.431297287614,13.971,0.0,1
20000505,64457.431297287614,14.858,0.0,1
20000470,58082.59273884291,19.355,0.0,0
20000470,58082.59273884291,19.768,0.0,1
20000470,58082.59273884291,21.338,0.0,0
20000470,58082.59273884291,17.82,0.0,0
20000438,131431.7176594913,22.683,0.0,0
20000131,64241.92920771988,14.67,7.0,7
20000131,48181.446905789904,10.176,0.0,0
20000131,64241.92920771988,12.588,0.0,1
20000191,144109.4241977356,24.138,0.0,0
20000191,144109.4241977356,26.38,0.0,1
20000191,108082.0681483017,26.811,11.0,11
20000191,144109.4241977356,22.603,0.0,1
20000977,117496.38476512494,27.239,0.0,1
20000977,117496.38476512494,22.899,6.0,6
20000977,117496.38476512494,27.131,0.0,1
20000977,117496.38476512494,12.838,0.0,1
20000782,151054.410635128,14.35,0.0,0
20000782,151054.410635128,12.004,0.0,1
20000782,113290.807976346,14.259,0.0,0
20000782,151054.410635128,12.339,0.0,0
20000151,66514.638249124,10.869,0.0,1
20000151,66514.638249124,12.314,3.0,3
20000151,66514.638249124,10.888,0.0,0
20000151,66514.638249124,13.177,0.0,0
20000151,49885.978686843,10.339,0.0,1
20000151,66514.638249124,14.041,0.0,1
20000946,2315.4644548507804,22.947,0.0,0
20000946,1736.5983411380853,11.361,0.0,0
20000946,2315.4644548507804,10.643,4.0,4
20000946,1736.5983411380853,9.541,0.0,1
20000616,2443.1925704793457,9.522,0.0,0
20000616,2443.1925704793457,7.031,0.0,0
20000616,2443.1925704793457,9.457,0.0,1
20000616,2443.1925704793457,9.536,0.0,0
20000616,2443.1925704793457,10.95,0.0,0
20000616,1832.3944278595093,7.272,0.0,1
20000942,2191.556578720976,17.79,8.0,8
20000942,2922.0754382946343,20.529,9.0,9
20000942,2191.556578720976,21.737,0.0,0
20000626,4899.695041387079,7.493,0.0,1
20000626,4899.695041387079,7.771,-2.0,0
20000626,4899.695041387079,8.88,0.0,0
