company_reg_number,total_debt,missed_payments_5y,payment_index,failure_score,credit_score,debt_to_revenue_ratio
20000175,0.0,0,11,51,674,0.0
20000176,14609.0,4,57,62,683,0.1824915993154535
20000177,15531.0,0,19,65,706,0.222274698381349
20000178,8345.0,0,8,87,790,0.0226779245554773
20000179,10645.0,1,20,16,565,0.0653717191318979
20000180,18448.0,2,11,68,758,0.0480439187253569
20000181,170805.0,0,33,21,491,0.1078971040456439
20000182,0.0,5,61,41,707,0.0
20000183,6559.0,0,1,58,0,0.0465322511989557
20000184,0.0,0,14,52,0,0.0
20000185,96888.0,2,13,54,714,0.0724553361102594
20000186,133320.0,7,41,0,562,0.1524779380481177
20000187,810300.0,5,72,0,472,0.5878550581434575
20000188,165482.0,0,2,58,0,0.1038688611847234
20000191,539514.21,5,54,29,572,0.4808864567400767
20000192,136865.0,0,0,81,743,0.1012364508918334
20000194,35979.0,0,0,65,735,0.0994282303328091
20000195,7569.0,0,19,25,620,0.0583572987101101
20000196,87847.0,0,19,64,538,0.5053208623823658
20000197,12142.0,0,24,81,0,0.0628146032829968
20000198,0.0,0,22,98,831,0.0
20000199,59071.0,0,18,43,657,0.1386542293870633
20000200,0.0,5,57,0,434,0.0
20000202,10679.0,0,4,51,702,0.0792922430371475
20000203,17011.0,4,34,0,538,0.1356668899735222
20000204,145645.0,2,10,22,583,0.1725890911417815
20000205,0.0,0,17,91,844,0.0
20000206,7702.0,1,4,86,0,0.0484250235774913
20000207,279421.22,1,14,34,544,0.1881094883729697
20000208,41952.0,2,28,41,640,0.2153947260330239
20000209,103974.0,0,13,54,648,0.2916816284393375
20000210,24698.0,0,20,62,706,0.1262543387468625
20000211,36246.0,5,73,3,485,0.1720755791872389
20000212,102854.0,0,6,97,676,0.3076973703892063
20000213,31611.0,0,12,74,0,0.0378293508660026
20000214,10686.0,5,95,20,366,0.0764301142947058
20000216,103801.0,0,11,58,633,0.2802062384429537
20000217,22936.0,0,15,55,706,0.0820402761383553
20000218,67860.0,0,24,74,673,0.1802768708440815
20000219,19811.0,0,25,55,672,0.0582721031608299
20000220,0.0,0,25,75,822,0.0
20000221,123026.0,0,4,53,609,0.2288447086659871
20000222,40086.0,0,10,30,546,0.2321229001754558
20000223,537436.46,3,9,70,568,0.6794384077896235
20000224,31973.0,0,22,72,681,0.1615050841293333
20000225,0.0,3,25,54,0,0.0
20000226,28556.0,3,16,22,516,0.1903149700758434
20000227,50819.0,0,21,84,807,0.1223660797056606
20000228,0.0,6,30,52,727,0.0
20000229,45200.0,1,33,47,711,0.0913227248114953
20000230,14278.0,0,4,23,552,0.0737541905790101
20000231,22561.0,7,40,0,514,0.0279301183758662
20000232,11454.0,7,50,11,576,0.0560158061013898
20000233,56281.0,5,73,0,510,0.148472041955533
20000234,21535.0,9,65,0,423,0.0813482619765342
20000235,46292.0,5,97,50,659,0.1601954514624254
20000236,0.0,0,16,79,830,0.0
20000238,99413.0,0,0,95,797,0.0515349336794811
20000239,41456.0,3,6,82,0,0.2677966977597478
20000240,9879.0,7,96,31,636,0.0475210090097023
20000241,84211.89,0,8,70,582,0.5070409127856218
20000242,80623.0,5,72,0,528,0.2629745483249125
20000243,3216.0,3,26,37,633,0.0149789707546774
20000244,45313.0,0,8,92,809,0.1155766974442687
20000245,85683.0,0,10,94,787,0.1538838691601877
20000246,19012.0,1,12,91,805,0.2139328674790984
20000247,532.0,5,90,0,588,0.0029868846568451
20000248,11703.0,5,44,25,565,0.1369909515504102
20000249,0.0,0,5,51,685,0.0
20000251,422.0,1,13,58,0,0.0140666666666666
20000252,13058.0,0,11,87,808,0.0912266484092274
20000253,226239.0,0,12,76,780,0.1824153531450742
20000254,4362.0,10,68,0,467,0.0766918086396961
20000255,8155.0,0,15,0,526,0.0376384036332251
20000256,21722.0,0,25,65,700,0.1172704205582249
20000257,18359.0,1,17,60,669,0.1133460515024109
20000258,15396.0,0,13,74,795,0.1011936060574192
20000259,47762.0,0,14,65,766,0.0495428679306345
20000260,992.0,8,81,11,557,0.0053945880100931
20000261,221565.0,0,17,68,710,0.2436448249735808
20000262,72710.0,0,14,79,690,0.2794528550619362
20000263,23737.0,3,3,58,715,0.1758413523864554
20000264,92711.0,4,33,69,722,0.2384799798332124
20000265,20034.0,0,5,28,623,0.1308411214953271
20000266,52694.0,0,12,49,722,0.1250032618416714
20000267,86635.0,4,59,0,586,0.2509769953446063
20000268,0.0,6,0,60,778,0.0
20000269,22260.0,0,11,12,533,0.1558572498827219
20000270,26853.0,9,68,16,475,0.0833105818989588
20000271,0.0,0,5,19,582,0.0
20000272,30281.0,0,25,62,0,0.076450761831425
20000273,14316.0,0,0,81,834,0.0567608716338376
20000274,139608.0,0,6,65,0,0.1146958352023739
20000275,35106.0,2,9,85,761,0.1766544052896687
20000276,64981.0,0,11,33,568,0.3031904966312685
20000278,0.0,0,11,58,697,0.0
20000279,59026.0,2,2,62,661,0.2910308307489017
20000281,0.0,5,76,4,377,0.0
20000282,93205.0,1,10,97,787,0.1522671393447309
20000283,2003.0,0,17,58,800,0.0063250168151345
20000284,235665.0,0,5,93,725,0.2172556271756446
20000285,20500.0,9,61,4,500,0.1580655856522711
20000286,148877.0,0,22,59,0,0.1689512848069016
20000288,25362.0,0,22,33,652,0.1191235527582724
20000289,60361.0,0,5,83,759,0.2020864511247485
20000290,19032.0,0,22,48,736,0.1050853072718237
20000292,126.0,1,14,89,833,0.0042
20000293,239580.96,6,47,23,601,0.4218256855212144
20000294,87014.0,0,3,93,544,0.5739255467904916
20000295,92827.0,0,4,85,791,0.2687109389699901
20000296,0.0,0,20,66,0,0.0
20000297,41427.0,0,8,73,743,0.1437329558465349
20000298,6998.0,0,13,82,816,0.032731677884368
20000299,39076.0,0,15,39,658,0.2552452120293679
20000300,328001.0,0,88,0,436,0.2791956466040805
20000301,173461.0,4,78,1,560,0.0993083493302478
20000302,565.0,0,0,75,0,0.0188333333333333
20000303,33320.0,3,3,29,650,0.1105423275596089
20000304,0.0,0,0,61,755,0.0
20000305,8212.0,2,10,68,755,0.0452539057118452
20000306,33376.0,4,52,0,508,0.0920275509134925
20000307,11981.0,3,22,59,739,0.0157132402508662
20000309,13882.0,2,6,79,0,0.0873598227883151
20000311,56275.0,0,8,33,531,0.3875368426851775
20000312,223403.98,4,53,33,402,0.700831257646579
20000313,0.0,0,15,85,805,0.0
20000314,44241.0,9,69,51,591,0.2462991933104335
20000315,3045.0,10,53,0,534,0.1015
20000316,11429.0,5,76,36,581,0.1259074835028037
20000317,11468.0,6,83,28,672,0.0609594684385382
20000318,3512.0,1,21,83,794,0.0182724425344169
20000319,79150.0,0,14,75,677,0.2005300174307835
20000320,1434.0,0,22,78,782,0.0478
20000321,51477.0,0,16,69,634,0.2919471651457836
20000322,0.0,0,5,87,841,0.0
20000323,345.0,0,20,38,667,0.0032001632547051
20000324,328659.0,0,17,58,625,0.3445814181708381
20000325,17766.0,0,18,59,710,0.1259660517023781
20000326,2113.0,0,27,69,0,0.0704333333333333
20000327,152338.0,0,11,63,693,0.1719258567062573
20000329,9810.0,0,3,88,801,0.0266562324227825
20000330,89128.0,7,58,14,588,0.2276600527208451
20000331,625441.23,0,23,98,490,0.5841854680601258
20000332,1880.0,0,20,55,740,0.0102653707546139
20000333,682.0,0,17,80,0,0.0227333333333333
20000334,460574.0,4,64,3,377,0.1783892777576371
20000335,338901.0,2,12,78,691,0.3061552470825451
20000336,9190.0,0,20,68,0,0.0810241309081932
20000337,0.0,0,16,43,691,0.0
20000338,36424.0,1,15,75,724,0.1320379902849271
20000339,1135.0,1,30,81,809,0.0378333333333333
20000340,34032.0,0,9,63,0,0.1855454267893749
20000341,16937.0,0,38,74,0,0.0593316822145076
20000342,19616.0,0,33,60,809,0.0511211416776991
20000343,356047.0,0,17,51,544,1.3381905241556606
20000344,0.0,4,45,61,794,0.0
20000345,0.0,4,64,0,501,0.0
20000346,0.0,0,16,54,752,0.0
20000347,0.0,0,3,68,787,0.0
20000348,60733.0,0,21,34,619,0.1871010474430068
20000349,23637.0,8,52,42,657,0.1539227944049386
20000350,126666.0,0,12,86,758,0.1774354190042738
20000351,16775.0,0,15,91,0,0.0972819058554718
20000353,203768.0,5,41,25,512,0.191812698149724
20000354,452737.6,0,13,21,538,0.3171013169082843
20000355,2210.0,1,25,56,782,0.0208068540225015
20000356,45813.0,5,54,0,573,0.1154314222003855
20000357,190191.0,2,17,29,660,0.1672711697750791
20000358,0.0,4,32,0,486,0.0
20000359,0.0,0,10,63,791,0.0
20000360,0.0,0,0,94,818,0.0
20000361,433846.48,6,56,3,493,0.6470713835075625
20000362,0.0,0,21,99,826,0.0
20000363,358388.0,3,1,24,401,0.3159663569199302
20000365,43654.0,7,75,40,658,0.070148431084879
20000366,17611.0,0,0,72,735,0.0831841519807662
20000367,81663.0,0,13,76,795,0.1638276402343977
20000368,23558.0,5,41,0,527,0.1278901224179582
20000369,16518.0,2,10,41,656,0.0899119822767033
20000370,0.0,0,14,67,773,0.0
20000371,18323.0,0,8,99,0,0.1149289025208713
20000372,11212.0,0,18,61,678,0.0797717554482003
20000373,19745.0,0,11,92,0,0.1381551788075763
20000374,3594.0,0,14,50,696,0.0105678530262755
20000375,50149.0,0,1,100,827,0.1296298689717031
20000376,0.0,3,13,3,494,0.0
20000377,17038.0,0,18,43,622,0.1143382500973062
20000379,0.0,0,11,92,0,0.0
20000380,6671.0,0,6,86,809,0.0824557500247206
20000381,11334.0,0,15,23,554,0.1159547802956673
20000382,981355.0,0,9,26,550,0.2571588643297696
20000383,14595.0,3,9,44,665,0.0797423330983953
20000384,28695.0,4,54,0,550,0.1426767237307266
20000385,74921.0,1,8,76,762,0.0493596572540664
20000386,0.0,0,16,80,806,0.0
20000387,149051.0,4,46,88,790,0.16603857237863
20000388,68970.0,0,8,79,801,0.1841109844612144
20000389,191558.0,0,16,61,684,0.2031051363149116
20000390,6838.0,0,22,20,376,0.0169509592239941
20000391,513.0,1,33,65,0,0.0171
20000392,137953.0,0,29,74,743,0.0917589668411124
20000393,22456.0,0,16,62,720,0.170489314049273
20000394,1787.0,6,43,22,561,0.0153786574870912
20000395,25333.0,1,17,69,792,0.0703475585373439
20000396,67608.0,0,29,55,648,0.3072476413808147
20000397,0.0,3,15,27,546,0.0
20000399,12890.0,0,14,22,577,0.0832665822588563
20000401,30659.0,6,34,56,708,0.1388604556365777
20000402,40806.0,0,11,65,663,0.2250769451400456
20000403,0.0,0,21,73,831,0.0
20000404,0.0,0,17,0,558,0.0
20000405,87465.0,0,7,32,570,0.1047946879582858
20000406,6752.0,3,10,3,579,0.048256491255655
20000407,126075.0,0,16,72,671,0.111637680273934
20000408,57735.0,3,0,94,0,0.2567734647406248
20000409,47939.0,0,12,37,604,0.2657564015145215
20000410,111162.27,6,37,20,559,0.1096135402892531
20000411,472.0,4,45,31,641,0.0039706575139646
20000412,2148.0,3,15,0,587,0.0103380066128589
20000413,0.0,0,29,37,679,0.0
20000414,46125.0,6,97,0,476,0.1769926785467606
20000415,686777.01,0,19,72,702,0.2698689237182172
20000416,8924.0,0,22,42,735,0.0457732572155456
20000417,226950.0,1,0,50,739,0.1462456527440633
20000418,147396.0,0,16,91,0,0.0873735301998145
20000419,137571.34,5,61,0,502,0.7852245433789954
20000420,32049.0,0,17,33,670,0.1482987908991213
20000421,0.0,9,54,0,492,0.0
20000422,0.0,0,9,88,834,0.0
20000423,1029.0,1,18,86,814,0.0033968692023794
20000424,66464.0,0,17,59,667,0.2247850702453344
20000425,7423.0,0,20,63,762,0.038081117962714
20000426,32561.0,0,23,0,550,0.0867724106319587
20000427,533.0,2,23,15,587,0.0177666666666666
20000428,264849.0,0,6,56,714,0.2045063375197384
20000429,34320.0,4,35,42,627,0.1351830406730792
20000431,10824.0,0,17,96,817,0.0733631557543716
20000434,38267.0,6,57,0,589,0.2038460514049807
20000435,39462.0,7,64,13,436,0.2204913590318092
20000436,26444.0,2,18,88,771,0.1460663606586353
20000437,47282.0,0,14,93,808,0.1247144718586629
20000438,113311.0,0,15,98,849,0.092425212585901
20000439,13488.0,0,27,59,685,0.0766991174597397
20000440,142285.7,0,24,78,703,0.2121643686096394
20000441,174478.0,0,18,0,533,0.5390630551582017
20000442,69078.0,0,13,85,0,0.1712288529466443
20000445,0.0,0,12,64,738,0.0
20000446,26612.0,0,14,16,524,0.1175680571140779
20000447,899.0,8,46,18,569,0.0050416115211198
20000448,25111.0,0,25,90,800,0.1027190208743245
20000449,78179.0,4,57,0,508,0.2386846226884573
20000450,29333.0,0,13,68,743,0.132424111093053
20000451,20940.0,1,15,89,794,0.0717047162801209
20000452,27549.0,4,26,0,528,0.1074982245565293
20000453,32640.0,0,20,49,685,0.0873208237692418
20000454,51824.0,0,21,100,0,0.0973862583599706
20000456,27400.0,0,10,98,824,0.1454167197384621
20000457,6510.0,2,23,80,838,0.0393729360960917
20000458,1655.0,2,25,49,672,0.0551666666666666
20000459,1189143.0,1,6,94,684,0.2947685006961798
20000460,68137.0,0,15,94,0,0.0465016764954182
20000461,22235.0,0,0,67,752,0.0548500411961181
20000462,41213.0,0,6,77,801,0.13384190203395
20000464,1163835.6800000002,0,3,87,609,0.5073429869981544
20000465,38026.0,8,61,22,499,0.158313037323841
20000466,26505.0,0,24,54,688,0.1723622175256056
20000468,34082.0,0,13,41,0,0.2019470631106792
20000469,25009.0,0,9,32,489,0.2755600118999085
20000472,23218.0,0,11,86,811,0.083674800615542
20000473,417797.0,0,29,11,533,0.2709888114155991
20000474,864946.21,0,24,87,576,0.635452062262012
20000478,12142.0,4,44,0,349,0.0622404937410934
20000479,528.0,3,9,67,0,0.0176
20000480,75051.0,3,12,84,789,0.1955033525577905
20000481,3890.0,6,56,0,500,0.0374078027483676
20000482,42401.0,1,8,29,830,0.2845704697986577
20000483,22075.0,2,20,64,0,0.129419765608053
20000484,0.0,0,18,84,800,0.0
20000486,35720.0,0,8,68,719,0.1983111352923867
20000488,0.0,0,13,90,820,0.0
20000489,48873.0,0,0,54,669,0.1553634779954986
20000490,253847.0,0,0,78,678,0.2178891837792739
20000491,38328.0,0,15,68,0,0.1158614185224706
20000492,7908.0,0,8,38,655,0.053113036469877
20000493,0.0,0,20,50,725,0.0
20000494,654920.0,0,11,90,0,0.1961009764925556
20000495,15852.0,3,9,0,436,0.1010969387755102
20000496,44143.0,2,32,17,558,0.1229938925172191
20000497,248067.0,5,84,1,496,0.2343653013851216
20000498,27205.0,0,4,100,818,0.1319830200121285
20000499,17708.0,0,8,82,777,0.1604087215674907
20000500,163644.0,0,11,86,777,0.1075491563341645
20000502,5090.0,2,19,60,0,0.0519249994899312
20000504,279843.59,0,15,90,518,0.7764740859537794
20000505,698416.53,6,18,43,604,0.2979657535210877
20000506,35124.0,0,35,21,460,0.1588724596644699
20000507,58753.0,1,26,24,662,0.0676219578866196
20000508,85441.0,0,18,5,349,0.0755582793005988
20000509,217084.0,1,32,11,578,0.1716198439100902
20000510,884827.92,0,10,97,641,0.4205693763097818
20000511,40503.0,0,8,57,704,0.0596305827758409
20000512,10193.0,2,10,62,776,0.053511056046702
20000513,37991.0,3,19,0,416,0.1997066770398561
20000514,260266.36,0,18,66,642,0.3214553943061816
20000515,1659.0,0,15,88,828,0.0231380753138075
20000516,156021.0,3,2,24,495,0.470601897235586
20000517,177340.0,0,9,41,660,0.0874336876565365
20000518,249351.61,0,8,69,625,0.3058774584427644
20000519,87284.0,0,11,43,658,0.2484776884207529
20000520,112798.0,5,83,6,799,0.0997439153364294
20000521,27559.0,10,67,16,530,0.1359005463834152
20000522,71364.0,0,8,88,711,0.1193968921071299
20000523,554450.14,0,9,53,587,0.3188448440251326
20000524,109765.0,0,21,99,847,0.0883217223238755
20000525,45607.0,0,18,67,710,0.1837769226119718
20000526,11193.0,0,16,41,623,0.0768428062418904
20000527,2614.0,4,47,44,729,0.0194814389733117
20000528,11600.0,0,20,70,761,0.0477747666861609
20000529,29256.0,0,19,76,675,0.0895262051427994
20000530,38472.0,4,78,0,545,0.1953518130163453
20000531,275407.0,0,29,79,0,0.1928304465514754
20000532,32175.0,0,6,82,726,0.1522896698615548
20000533,22456.0,2,22,75,753,0.115810482560868
20000534,34078.76,0,16,47,696,0.0968625400055709
20000535,30663.0,0,25,84,777,0.12740894019097
20000536,104705.41,0,11,54,748,0.1434157623174351
20000537,0.0,8,55,21,665,0.0
20000538,8503.0,0,22,46,0,0.0556985739645358
20000540,13602.0,1,8,57,723,0.1640732431063183
20000541,11622.0,6,90,0,530,0.0744594291571899
20000542,0.0,0,17,31,646,0.0
20000543,24826.0,1,47,64,730,0.183965794485324
20000544,0.0,0,19,96,815,0.0
20000545,26803.0,3,7,78,0,0.1780681765335069
20000546,45575.0,3,15,41,639,0.0641958370954042
20000547,74581.0,0,5,67,709,0.2394830215942843
20000548,0.0,1,90,3,538,0.0
20000549,27578.0,6,87,12,470,0.0684120699748955
20000550,644884.0,4,10,36,589,0.2862352451368983
20000551,25828.0,4,84,0,432,0.1412106897607488
20000552,2051.0,0,4,49,672,0.0292502745332934
20000553,17154.0,6,69,4,551,0.0862309041828573
20000554,36850.0,0,14,37,630,0.1011248597012631
20000555,17288.0,0,4,22,589,0.1023715766099185
20000556,38503.0,0,8,67,0,0.1096623517181469
20000557,0.0,2,14,45,699,0.0
20000558,19098.0,4,0,0,571,0.1275674809129711
20000559,17177.0,0,67,0,520,0.0584062972848909
20000560,32698.0,0,12,63,0,0.2346398381101367
20000561,235335.84,0,7,69,734,0.2387855752049864
20000562,30519.0,0,19,32,631,0.0760694817285187
20000563,41664.0,0,14,69,731,0.2185640993358723
20000564,14440.0,0,34,58,698,0.1404614606435547
20000565,19606.0,3,6,47,593,0.159318067315662
20000566,0.0,6,36,37,667,0.0
20000567,612.0,0,21,53,0,0.0034509786231046
20000568,21209.0,0,25,89,738,0.1165886989934749
20000570,143903.0,0,18,72,699,0.1910288661299208
20000571,7925.0,0,19,76,0,0.0367282434398954
20000572,0.0,0,17,3,498,0.0
20000573,3242.0,5,64,30,620,0.00757480175141
20000574,23562.0,0,22,44,680,0.0453439768449737
20000576,20009.0,0,16,86,802,0.1387731039983354
20000577,4080.0,0,26,61,753,0.0317764433748452
20000578,24396.0,6,55,20,528,0.1393356483596819
20000579,7903.0,0,13,82,841,0.0331686721199326
20000580,0.0,0,18,95,849,0.0
20000581,32633.0,0,22,81,749,0.2321939349091374
20000582,23334.0,0,25,0,505,0.1702677261881307
20000583,0.0,4,64,0,387,0.0
20000584,219.0,0,21,49,681,0.0073
20000585,13006.0,0,18,24,609,0.0847942731593462
20000586,0.0,5,43,41,688,0.0
20000587,20502.0,0,33,82,803,0.1068998420122323
20000588,39248.0,2,22,0,415,0.0403420356652046
20000589,59664.0,0,17,19,574,0.0719320031346072
20000590,1374.0,7,68,0,555,0.0458
20000591,17215.0,0,11,36,633,0.1412084126255003
20000592,22462.0,0,16,53,669,0.0801152758309525
20000593,222332.78,1,30,53,653,0.2041538963036421
20000594,86127.0,2,27,74,742,0.2565800645270844
20000595,0.0,0,21,75,790,0.0
20000597,8338.0,0,10,36,639,0.0582116227763969
20000598,85065.0,2,28,26,529,0.249589958306315
20000599,13110.0,0,13,89,790,0.0618486665502974
20000600,122895.0,0,0,64,695,0.1241497818451085
20000601,17221.0,0,0,89,816,0.086142902877266
20000602,0.0,0,15,88,793,0.0
20000603,72822.0,0,5,53,739,0.0618664428367049
20000604,24748.0,0,1,62,665,0.2087681263339041
20000605,345780.44,0,9,87,702,0.3524358383718133
20000606,92463.0,0,5,87,0,0.2636203716111227
20000607,16500.0,2,19,54,0,0.1633938385668875
20000608,168971.0,0,11,77,724,0.2498864965667984
20000609,661.0,8,56,0,542,0.0220333333333333
20000610,0.0,5,96,41,682,0.0
