company_reg_number,capex,cogs,cogs_plus_capex,accounts_receivable,current_assets,current_liabilities,fixed_assets,long_term_liabilities,capital_and_reserves,provisions_for_liabilities,entity_status,dissolved_on,turnover_level,employee_size_level
20000021,110.92,3521.36,3632.28,9792.0,54367.0,41877.0,17149.0,2463.0,27176.0,5444.0,1,2021-06-07,0,0
20000022,123.54,4245.43,4368.97,9003.0,54099.0,41873.0,16331.0,1793.0,26763.0,10468.0,1,2021-07-01,0,0
20000023,0.02,364587.72,364587.74,12570.0,103350.0,120075.0,197052.0,84198.0,96128.0,20412.0,0,2020-11-13,1,0
20000024,69.07,2606.47,2675.54,7661.0,65212.0,51793.0,22552.0,2620.0,33350.0,8287.0,0,2021-02-27,0,0
20000025,474.48,2472.55,2947.03,5950.0,44157.0,23900.0,10931.0,14662.0,16526.0,4063.0,1,2021-11-27,0,0
20000026,206.37,6291.68,6498.05,6997.0,22535.0,22166.0,57367.0,32167.0,25568.0,4654.0,1,2021-07-29,0,0
20000027,221.95,8312.9,8534.85,45534.0,226065.0,133871.0,20408.0,9083.0,103518.0,13387.0,1,2021-07-30,1,1
20000028,214.0,3912.32,4126.32,5401.0,92278.0,68513.0,9419.0,2675.0,30509.0,7536.0,1,2020-06-28,0,0
20000029,0.02,222673.68,222673.7,16536.0,117666.0,85835.0,29049.0,8063.0,52818.0,11158.0,1,2020-02-20,0,0
20000030,192.38,3447.74,3640.12,6729.0,92942.0,53050.0,13379.0,21374.0,31896.0,5305.0,1,2020-09-30,0,0
20000031,433.86,5976.02,6409.88,4701.0,98261.0,67591.0,11131.0,10077.0,31724.0,9462.0,1,2017-05-30,0,0
20000032,208.79,6213.92,6422.71,8455.0,49404.0,60610.0,13018.0,907.0,905.0,7273.0,1,2011-03-09,0,0
20000033,83.26,2677.16,2760.42,7707.0,49542.0,34814.0,12778.0,3824.0,23681.0,6614.0,1,2021-07-06,0,0
20000034,94.87,8249.4,8344.27,48748.0,169978.0,89427.0,14800.0,30679.0,64672.0,21462.0,1,2019-08-02,0,0
20000035,154.6,5747.25,5901.85,14413.0,79805.0,37329.0,7796.0,13480.0,36792.0,3732.0,1,2021-03-11,0,0
20000036,153.68,4628.84,4782.52,5893.0,41740.0,49209.0,10448.0,1490.0,1489.0,12302.0,1,2021-03-03,0,0
20000037,597.83,4659.63,5257.46,5558.0,28374.0,19472.0,131389.0,50823.0,89467.0,2531.0,1,2021-12-07,0,0
20000038,81.58,3385.25,3466.83,8910.0,57124.0,46706.0,12836.0,11628.0,11626.0,9808.0,1,2020-02-19,0,0
20000039,111.63,2022.27,2133.9,17305.0,123621.0,65763.0,32230.0,33982.0,56106.0,6576.0,1,2014-12-13,0,0
20000040,328.26,4330.6,4658.86,4670.0,83920.0,63930.0,5845.0,700.0,25134.0,14064.0,1,2019-04-29,0,0
20000041,98.53,4037.96,4136.49,9540.0,69872.0,57397.0,23062.0,221.0,35315.0,7461.0,1,2013-07-28,0,0
20000042,205.84,3465.25,3671.09,11260.0,71811.0,47068.0,22488.0,13284.0,33948.0,11296.0,1,2019-04-14,0,0
20000043,159.72,5219.54,5379.26,17459.0,86361.0,39326.0,8084.0,15452.0,39667.0,4719.0,1,2016-02-15,0,0
20000044,193.08,6634.9,6827.98,7086.0,48775.0,36482.0,2223.0,7259.0,7257.0,7296.0,1,2020-03-24,0,0
20000045,224.62,3892.82,4117.44,3346.0,48044.0,43178.0,4387.0,4627.0,4625.0,5613.0,0,2018-02-12,0,0
20000046,82.37,2860.23,2942.6,8430.0,64188.0,54777.0,17140.0,13277.0,13275.0,10407.0,1,2004-01-20,0,0
20000047,235.89,8335.49,8571.38,22574.0,176265.0,125122.0,8143.0,29643.0,29642.0,26275.0,1,2018-01-19,0,1
20000048,142.73,4418.74,4561.47,13288.0,75343.0,39782.0,10021.0,9730.0,35853.0,5171.0,1,2018-10-04,0,0
20000049,80.25,7101.51,7181.76,44905.0,186393.0,97320.0,17788.0,35397.0,71463.0,23357.0,1,2021-08-07,1,0
20000050,130.27,3865.44,3995.71,9299.0,80679.0,69975.0,17863.0,14284.0,14282.0,8397.0,0,2021-02-09,1,0
20000051,111.33,3425.61,3536.94,36095.0,219886.0,166125.0,74299.0,16270.0,111790.0,28241.0,1,2010-10-29,0,1
20000052,145.77,2760.72,2906.49,18041.0,128297.0,86922.0,35263.0,17757.0,58882.0,10430.0,1,2009-02-07,0,0
20000053,0.02,994890.39,994890.41,60281.0,328011.0,156943.0,36364.0,54394.0,153038.0,32958.0,1,2017-06-05,0,1
20000054,0.08,54244.71,54244.79,8343.0,51317.0,32398.0,12354.0,12171.0,19101.0,5183.0,1,2018-10-10,0,0
20000055,70.11,2344.85,2414.96,7650.0,59211.0,44729.0,17218.0,2656.0,29043.0,8498.0,1,2007-09-19,0,0
20000056,326.7,3590.11,3916.81,14626.0,20791.0,14142.0,460492.0,197622.0,269519.0,3535.0,1,2021-01-27,1,0
20000057,0.04,25863.71,25863.75,10867.0,33645.0,20911.0,275593.0,115153.0,173173.0,3764.0,1,2020-11-24,0,0
20000058,206.12,3000.23,3206.35,6690.0,90829.0,84955.0,9980.0,7928.0,7926.0,21238.0,1,2020-05-30,0,0
20000059,0.01,120100.77,120100.78,30344.0,266010.0,322523.0,597436.0,264620.0,276303.0,41928.0,0,2004-07-27,0,1
20000060,224.7,3984.12,4208.82,6002.0,100432.0,112782.0,14486.0,1069.0,1067.0,21428.0,1,2021-07-07,0,0
20000061,219.36,5042.85,5262.21,17330.0,114895.0,72345.0,37834.0,25401.0,54982.0,11575.0,1,2020-01-14,0,0
20000062,190.14,6533.85,6723.99,11055.0,120535.0,141643.0,139755.0,35354.0,83292.0,18413.0,0,2021-09-19,0,0
20000063,0.01,146983.02,146983.03,9348.0,69228.0,60230.0,17471.0,13236.0,13234.0,15057.0,1,2021-02-04,0,0
20000064,198.8,2971.61,3170.41,5808.0,40181.0,26292.0,10085.0,5878.0,18095.0,6310.0,1,2017-10-02,0,0
20000065,0.01,47005.29,47005.3,17305.0,122888.0,62440.0,13260.0,16526.0,57182.0,9366.0,1,2021-05-25,0,0
20000066,0.03,42136.65,42136.68,7793.0,107802.0,124476.0,9496.0,-3587.0,-3589.0,21161.0,1,2021-01-12,0,1
20000067,0.03,429000.04,429000.07,34693.0,496069.0,491856.0,48248.0,26231.0,26229.0,98371.0,1,2021-05-06,0,3
20000068,260.34,5045.42,5305.76,6545.0,119060.0,114136.0,14253.0,9589.0,9588.0,11413.0,1,2019-09-17,0,0
20000069,186.91,6128.25,6315.16,22563.0,154041.0,191860.0,51687.0,6934.0,6933.0,19186.0,1,2021-10-28,0,1
20000070,113.04,3467.39,3580.43,5825.0,42069.0,35117.0,10014.0,8484.0,8482.0,8076.0,1,2008-08-18,0,0
20000071,149.92,2916.65,3066.57,5849.0,119536.0,95605.0,13982.0,18957.0,18955.0,16252.0,0,2020-08-24,0,0
20000072,0.01,26030.11,26030.12,6381.0,37380.0,27298.0,10760.0,2549.0,18293.0,3275.0,1,2021-06-12,0,0
20000073,214.89,3528.6,3743.49,5464.0,107661.0,82430.0,12386.0,1603.0,36014.0,12364.0,1,2021-05-29,0,0
20000074,0.0,35579.19,35579.19,38820.0,113252.0,62141.0,11744.0,19106.0,43749.0,9321.0,1,2020-08-04,0,0
20000075,231.51,4090.34,4321.85,5926.0,104430.0,119113.0,14913.0,115.0,114.0,28587.0,1,2018-10-24,0,0
20000076,0.01,2109723.99,2109724.0,44194.0,141639.0,81920.0,16670.0,20981.0,55408.0,9830.0,0,2011-05-04,0,0
20000077,52.1,6058.58,6110.68,52641.0,240276.0,127778.0,26988.0,45943.0,93542.0,15333.0,1,2021-12-07,0,0
20000078,664.3,5040.21,5704.51,64077.0,601081.0,408645.0,1146248.0,360179.0,978504.0,65383.0,1,2019-05-21,0,1
20000079,0.04,471813.81,471813.85,24380.0,197702.0,152203.0,59977.0,12711.0,92764.0,36528.0,1,2020-11-30,1,2
20000080,73.88,2323.27,2397.15,8127.0,57815.0,47881.0,15561.0,12749.0,12747.0,6224.0,1,2021-03-29,0,0
20000081,88.26,2580.76,2669.02,10356.0,57672.0,30054.0,5275.0,6454.0,26438.0,6311.0,1,2021-02-12,0,0
20000082,80.09,2550.64,2630.73,8214.0,58263.0,40200.0,14825.0,5114.0,27773.0,10050.0,1,2015-02-23,0,0
20000083,0.06,12681.77,12681.83,3860.0,25279.0,19330.0,8462.0,4289.0,10122.0,4252.0,1,2006-05-19,0,0
20000084,188.29,3743.35,3931.64,3442.0,62112.0,47623.0,7901.0,1386.0,21004.0,11905.0,1,2020-12-26,0,0
20000085,325.34,9540.82,9866.16,21776.0,154030.0,138085.0,5791.0,10869.0,10867.0,23474.0,1,2021-08-10,0,1
20000086,96.19,3657.39,3753.58,7283.0,47259.0,39992.0,15598.0,11433.0,11431.0,4399.0,1,2021-02-13,0,0
20000087,136.41,3954.03,4090.44,5408.0,42458.0,45882.0,11398.0,3987.0,3986.0,10553.0,1,2021-07-07,0,0
20000088,0.05,187092.15,187092.2,45060.0,307619.0,205137.0,91037.0,73922.0,119597.0,28719.0,1,2018-11-06,1,2
20000089,358.64,5577.56,5936.2,3233.0,42396.0,45459.0,4050.0,494.0,492.0,4545.0,1,2016-10-07,0,0
20000090,108.43,10526.94,10635.37,40332.0,178798.0,98019.0,15151.0,28047.0,67882.0,16663.0,1,2017-07-11,0,0
20000091,0.01,25292.53,25292.54,6368.0,45528.0,43878.0,15817.0,5811.0,11655.0,10092.0,1,2019-11-26,0,0
20000092,0.03,51144.51,51144.54,4044.0,57121.0,52610.0,5380.0,4946.0,4944.0,12100.0,1,2019-08-20,0,0
20000093,69.87,2031.07,2100.94,7809.0,44974.0,38527.0,15950.0,11199.0,11197.0,4623.0,1,2020-08-23,0,0
20000094,73.28,2797.09,2870.37,5863.0,45502.0,37983.0,13131.0,10326.0,10324.0,6077.0,1,2021-06-06,0,0
20000095,916.49,7285.31,8201.8,14809.0,117285.0,77070.0,260566.0,89184.0,211597.0,9248.0,1,2021-09-21,0,0
20000096,0.05,101516.72,101516.77,9957.0,260917.0,201976.0,866642.0,418181.0,507402.0,36355.0,1,2020-10-08,0,0
20000097,1138.3,32338.08,33476.38,36527.0,317814.0,270392.0,13905.0,30664.0,30663.0,54078.0,0,2021-10-12,0,2
20000098,239.71,2870.79,3110.5,1410.0,15455.0,13576.0,1161.0,1521.0,1519.0,2036.0,1,2016-08-09,0,0
20000099,135.01,3317.17,3452.18,14950.0,105335.0,99271.0,26730.0,16398.0,16396.0,15883.0,1,2020-11-27,0,0
20000100,319.06,4584.13,4903.19,37676.0,908749.0,664108.0,97149.0,40020.0,301769.0,139462.0,1,2010-07-24,0,1
20000102,361.41,5560.21,5921.62,5284.0,86252.0,99070.0,7013.0,-2901.0,-2903.0,13869.0,1,2003-08-17,0,1
20000103,524.06,7606.16,8130.22,7862.0,107128.0,97901.0,10336.0,9782.0,9781.0,15664.0,1,2021-05-27,0,1
20000104,851.81,28393.62,29245.43,57980.0,605346.0,762583.0,1240672.0,492709.0,590726.0,114387.0,1,2021-07-28,1,2
20000105,0.01,521096.23,521096.24,6968.0,118086.0,112300.0,65906.0,20174.0,51517.0,26952.0,1,2020-10-05,0,0
20000107,125.46,4958.71,5084.17,7248.0,45192.0,41060.0,14881.0,9507.0,9505.0,8212.0,1,2020-08-06,0,0
20000108,86.89,2812.01,2898.9,9805.0,79322.0,58125.0,17148.0,1686.0,36658.0,11043.0,1,2019-07-28,0,0
20000109,162.19,4870.45,5032.64,56506.0,392952.0,311526.0,116290.0,4204.0,193512.0,34267.0,1,2021-09-11,0,1
20000110,93.36,2926.57,3019.93,16169.0,87551.0,41809.0,8237.0,13748.0,40231.0,7525.0,1,2021-04-09,0,0
20000111,0.03,0.0,0.03,3305.0,39739.0,36106.0,3568.0,3601.0,3599.0,7582.0,1,2021-06-03,0,0
20000112,0.05,619368.52,619368.57,85369.0,381332.0,273020.0,2154123.0,842579.0,1419855.0,57334.0,1,2021-05-20,0,1
20000113,0.01,13007.59,13007.6,2142.0,14791.0,23589.0,4033.0,-2381.0,-2383.0,2358.0,1,2020-06-06,0,0
20000114,0.02,12938.21,12938.23,15739.0,133896.0,111882.0,31424.0,26720.0,26718.0,19020.0,1,2018-10-13,0,0
20000115,50.15,1951.18,2001.33,9868.0,54474.0,45376.0,19539.0,511.0,28125.0,5445.0,1,2015-08-30,0,0
20000116,129.04,4658.43,4787.47,10001.0,111055.0,128680.0,120098.0,28504.0,73969.0,28309.0,1,2010-08-02,0,0
20000117,143.34,4809.95,4953.29,2128.0,13322.0,10253.0,476.0,1774.0,1772.0,1845.0,1,2021-07-02,1,0
20000118,382.9,4985.66,5368.56,7236.0,98834.0,88132.0,9176.0,9940.0,9938.0,22033.0,1,2020-09-28,0,1
20000119,0.03,45088.52,45088.55,5908.0,44650.0,28650.0,11299.0,7157.0,20141.0,7162.0,1,2018-10-01,0,0
20000120,565.99,5426.6,5992.59,8024.0,37576.0,27533.0,170259.0,63914.0,116388.0,6332.0,1,2021-03-28,0,0
20000121,123.9,4228.56,4352.46,14194.0,75935.0,35594.0,8119.0,13157.0,35303.0,3559.0,1,2021-05-14,1,0
20000122,306.93,9244.96,9551.89,28723.0,266489.0,286149.0,619917.0,316606.0,283650.0,51506.0,1,2011-08-28,0,1
20000123,172.21,6150.35,6322.56,49601.0,328042.0,277145.0,80988.0,65943.0,65941.0,55429.0,1,2021-07-09,0,1
20000124,565.72,4730.06,5295.78,13136.0,46209.0,27503.0,366378.0,154035.0,231049.0,3850.0,1,2021-02-01,0,0
20000125,0.03,157084.94,157084.97,13530.0,120363.0,73687.0,28167.0,21372.0,53471.0,11053.0,1,2002-10-11,0,0
20000126,137.96,4523.15,4661.11,17012.0,79303.0,62394.0,19308.0,18109.0,18107.0,13102.0,1,2017-02-24,0,1
20000127,405.44,2088.84,2494.28,6680.0,57014.0,47114.0,13076.0,1949.0,21027.0,10365.0,1,2021-08-26,0,0
20000128,134.11,4340.26,4474.37,5371.0,38706.0,45491.0,8954.0,1085.0,1083.0,7278.0,1,2021-05-24,0,0
20000129,0.04,44660.71,44660.75,10383.0,11070.0,10976.0,255044.0,106114.0,149024.0,1097.0,0,2021-06-03,0,0
20000130,106.67,3312.78,3419.45,14223.0,71582.0,48293.0,8702.0,15996.0,15995.0,5795.0,1,2021-08-01,0,0
20000131,9162.79,115110.48,124273.27,42776.0,801680.0,927726.0,62795.0,-31623.0,-31625.0,231931.0,1,2016-06-11,0,3
20000132,1064.14,18968.7,20032.84,42134.0,276520.0,164975.0,96289.0,73622.0,134211.0,24746.0,1,2021-08-12,1,2
20000133,56.31,1955.09,2011.4,9984.0,53861.0,37345.0,17402.0,6837.0,27080.0,5601.0,0,2004-11-08,0,0
20000134,117.92,10435.62,10553.54,37153.0,644610.0,495978.0,235523.0,137718.0,246437.0,64477.0,1,2021-08-06,0,1
20000135,176.86,5458.61,5635.47,5646.0,40255.0,31805.0,1726.0,5089.0,5087.0,3498.0,1,2015-05-30,1,0
20000136,0.01,152711.43,152711.44,10088.0,113235.0,124135.0,126791.0,39082.0,76808.0,21103.0,1,2002-03-18,0,0
20000137,279.97,7908.68,8188.65,36252.0,201530.0,105609.0,24654.0,25577.0,94997.0,23234.0,1,2020-05-05,0,1
20000138,95.21,2825.17,2920.38,7865.0,63207.0,49038.0,15346.0,14758.0,14757.0,6865.0,1,2021-09-05,0,0
20000139,145.51,2679.82,2825.33,5197.0,32013.0,18776.0,9168.0,7580.0,14825.0,3567.0,1,2021-10-14,0,0
20000140,178.94,5309.66,5488.6,5288.0,35024.0,36292.0,1166.0,-49.0,-51.0,7621.0,1,2021-05-12,0,0
20000141,86.26,3279.95,3366.21,4038.0,28444.0,19837.0,1138.0,4873.0,4872.0,3769.0,1,2020-04-13,1,0
20000142,353.61,4000.08,4353.69,6039.0,17251.0,10185.0,143675.0,60622.0,90118.0,2546.0,1,2017-07-31,0,0
20000143,0.05,185795.27,185795.32,9636.0,66163.0,41823.0,16244.0,10916.0,29666.0,5855.0,1,2018-05-16,0,1
20000144,158.41,4785.91,4944.32,15732.0,89721.0,45413.0,8249.0,11409.0,41147.0,7266.0,1,2018-02-24,0,0
20000145,382.03,12051.48,12433.51,26679.0,250828.0,274331.0,376493.0,152246.0,200742.0,27433.0,0,2020-08-03,0,1
20000146,175.8,4924.23,5100.03,13576.0,62958.0,31334.0,8245.0,9963.0,29905.0,5953.0,1,2019-12-09,1,0
20000147,127.41,4957.57,5084.98,11981.0,62339.0,26536.0,8132.0,14337.0,29598.0,2653.0,1,2020-04-13,0,0
20000148,0.01,94034.05,94034.06,5919.0,39521.0,48564.0,9381.0,169.0,168.0,11169.0,1,2020-06-30,0,0
20000149,101.8,3066.23,3168.03,9778.0,68154.0,52154.0,23244.0,4512.0,34731.0,12517.0,1,2021-01-14,0,0
20000150,0.11,293721.29,293721.4,28963.0,208094.0,156614.0,51945.0,25413.0,78011.0,32889.0,1,2018-01-31,0,1
20000151,0.03,367656.47,367656.5,41616.0,608581.0,459699.0,59690.0,8090.0,200481.0,73551.0,0,2019-06-16,0,1
20000152,82.24,2546.19,2628.43,5773.0,42767.0,34576.0,1964.0,5078.0,5076.0,6915.0,1,2016-07-01,0,0
20000153,1051.42,31199.53,32250.95,136324.0,513807.0,214681.0,62080.0,119333.0,241873.0,25761.0,1,2018-10-31,1,2
20000154,0.03,9895.85,9895.88,5923.0,102673.0,78079.0,13987.0,3583.0,34998.0,11711.0,0,2021-02-15,0,0
20000155,75.04,8431.98,8507.02,81479.0,347377.0,165238.0,30617.0,80458.0,132298.0,39657.0,1,2021-10-28,0,1
20000156,77.42,6561.1,6638.52,59692.0,253913.0,134717.0,30284.0,50011.0,99469.0,16166.0,1,2009-09-03,1,0
20000157,156.75,2561.26,2718.01,6479.0,101121.0,86629.0,12554.0,13524.0,13522.0,19058.0,1,2011-04-15,0,0
20000158,276.3,3175.91,3452.21,13117.0,291109.0,235691.0,517079.0,208812.0,363685.0,49495.0,1,2019-05-28,1,0
20000159,120.54,4058.56,4179.1,12279.0,67648.0,31852.0,6026.0,10879.0,30943.0,3503.0,1,2020-10-21,0,0
20000160,0.01,693630.31,693630.32,29949.0,228241.0,306024.0,386434.0,111955.0,196696.0,48963.0,1,2020-06-03,0,1
20000161,85.6,2391.05,2476.65,8581.0,60533.0,46499.0,18545.0,2530.0,30050.0,10229.0,1,2021-07-21,0,0
20000162,74.42,3012.88,3087.3,4990.0,36220.0,28652.0,8139.0,7854.0,7852.0,6303.0,1,2021-01-19,0,0
20000163,128.93,4883.81,5012.74,15163.0,81709.0,38297.0,10826.0,15373.0,38865.0,7276.0,1,2021-11-30,0,0
20000164,166.99,6522.95,6689.94,27400.0,191700.0,153361.0,55183.0,46762.0,46760.0,30672.0,1,2018-11-25,0,1
20000165,149.26,5922.99,6072.25,7186.0,53664.0,66257.0,14750.0,1079.0,1077.0,8613.0,1,2021-10-15,0,0
20000166,126.15,4554.29,4680.44,17263.0,90919.0,41197.0,10079.0,17382.0,42419.0,7415.0,0,2017-09-11,1,0
20000167,134.61,4018.26,4152.87,6876.0,50250.0,35854.0,14833.0,4497.0,24731.0,5019.0,1,2021-07-31,0,0
20000168,0.02,64183.96,64183.98,17436.0,128429.0,82406.0,42891.0,27238.0,61675.0,13185.0,1,2021-10-21,0,0
20000169,0.02,174645.16,174645.18,4838.0,30307.0,18502.0,1087.0,1590.0,11302.0,1850.0,0,2015-01-24,0,0
20000170,178.7,1690.6,1869.3,0.0,469345.0,379629.0,914338.0,381397.0,622657.0,49351.0,1,2015-11-15,0,0
20000171,291.32,8696.0,8987.32,9028.0,79320.0,84592.0,152909.0,73323.0,74313.0,20302.0,1,2019-09-18,0,1
20000172,67.78,8472.29,8540.07,122355.0,536134.0,282909.0,44751.0,94666.0,203310.0,45265.0,1,2001-08-20,0,1
20000173,328.64,4459.15,4787.79,8248.0,106438.0,91959.0,7726.0,11103.0,11101.0,22070.0,0,2021-09-19,0,1
20000174,166.02,5338.12,5504.14,10747.0,89890.0,101438.0,133539.0,50493.0,71497.0,15215.0,1,2021-06-04,0,0
20000175,0.01,46782.21,46782.22,15426.0,79425.0,37029.0,10707.0,15247.0,37856.0,4073.0,1,2001-12-17,0,0
20000176,0.02,99040.87,99040.89,2631.0,30292.0,22354.0,3361.0,1203.0,10096.0,4023.0,1,2020-03-06,0,0
20000177,447.49,4139.56,4587.05,4978.0,17734.0,11384.0,87825.0,35062.0,59113.0,2732.0,1,2021-02-04,0,0
20000178,0.02,115678.03,115678.05,11087.0,111372.0,129552.0,139195.0,40833.0,80181.0,31092.0,1,2021-01-24,0,0
20000179,677.42,5139.77,5817.19,11607.0,96942.0,58072.0,183562.0,65349.0,157082.0,13356.0,1,2021-10-15,0,0
20000180,157.19,4748.92,4906.11,15782.0,84597.0,40591.0,8571.0,13446.0,39131.0,8524.0,1,2020-10-29,0,0
20000181,194.78,7638.29,7833.07,65054.0,395175.0,185315.0,36238.0,64904.0,181193.0,29650.0,1,2021-07-08,0,1
20000182,0.01,59512.81,59512.82,8054.0,52827.0,70388.0,17190.0,-184.0,-185.0,16189.0,1,2018-06-08,0,0
20000183,168.87,5412.65,5581.52,6564.0,44333.0,51532.0,13284.0,3043.0,3041.0,11852.0,1,2019-08-13,0,0
20000184,402.42,4998.95,5401.37,7160.0,93741.0,82932.0,8596.0,9703.0,9701.0,12439.0,1,2020-10-08,0,1
20000185,0.03,500110.66,500110.69,62281.0,451063.0,287610.0,144007.0,93234.0,214225.0,71902.0,1,2009-10-24,0,1
20000186,631.69,25067.15,25698.84,26349.0,178535.0,183218.0,448961.0,243478.0,200798.0,23818.0,1,2021-11-11,1,2
20000187,3240.19,106936.91,110177.1,64199.0,307519.0,486949.0,103668.0,-37879.0,-37881.0,63303.0,1,2021-06-03,0,3
20000188,0.0,51887.71,51887.71,56742.0,248609.0,146221.0,20961.0,28999.0,94349.0,32168.0,1,2021-05-10,0,0
20000189,190.95,2267.81,2458.76,0.0,246289.0,183086.0,534590.0,246397.0,351396.0,40279.0,0,2021-10-26,0,0
20000191,128.74,13272.22,13400.96,30737.0,618150.0,533544.0,217639.0,68224.0,234021.0,96037.0,1,2009-09-04,0,1
20000192,67.9,8487.69,8555.59,48150.0,136808.0,74500.0,10958.0,21548.0,51718.0,7450.0,1,2021-11-28,0,0
20000193,311.32,4422.09,4733.41,4105.0,53961.0,49681.0,4835.0,4558.0,4556.0,9936.0,0,2008-08-30,0,0
20000194,124.99,2408.31,2533.3,16857.0,100805.0,63400.0,23997.0,16473.0,44928.0,10144.0,1,2021-08-24,0,0
20000195,0.01,79589.46,79589.47,6045.0,41441.0,31580.0,10146.0,404.0,19603.0,7895.0,1,2014-09-03,0,0
20000196,152.15,5453.34,5605.49,8095.0,76145.0,66231.0,19692.0,14804.0,14802.0,13246.0,1,2018-08-29,0,0
20000197,0.01,15444.88,15444.89,9001.0,38891.0,29765.0,13667.0,2821.0,19972.0,5953.0,1,2020-01-17,0,0
20000198,191.28,5465.16,5656.44,13497.0,57455.0,27281.0,5530.0,9250.0,26454.0,3273.0,1,2020-07-15,0,0
20000199,0.01,93471.33,93471.34,17508.0,87414.0,43942.0,11493.0,13423.0,41541.0,10985.0,1,2003-07-24,0,0
20000200,0.02,83419.01,83419.03,7379.0,52166.0,51859.0,2446.0,1378.0,1376.0,9334.0,1,2016-06-08,0,0
20000201,267.04,8423.82,8690.86,65495.0,312294.0,117653.0,35704.0,84185.0,146159.0,25883.0,0,2021-11-10,0,1
20000202,0.01,13022.76,13022.77,6271.0,58091.0,48320.0,14143.0,11958.0,11956.0,7248.0,1,2019-11-22,0,0
20000203,307.45,4766.7,5074.15,4122.0,79573.0,60356.0,8549.0,1329.0,26436.0,10260.0,1,2017-08-20,0,0
20000204,191.12,6975.33,7166.45,20808.0,153171.0,127780.0,5971.0,15681.0,15680.0,31945.0,1,2020-12-01,0,1
20000205,253.21,4234.2,4487.41,5264.0,124903.0,65702.0,17032.0,35071.0,41161.0,9198.0,1,2021-04-16,0,0
20000206,86.34,2698.23,2784.57,7405.0,33387.0,30918.0,9954.0,6213.0,6211.0,3710.0,1,2021-08-28,0,0
20000207,79.6,6921.77,7001.37,52906.0,239566.0,97062.0,24110.0,74327.0,92287.0,24265.0,1,2013-07-26,0,0
20000208,373.86,3429.87,3803.73,13873.0,112278.0,72558.0,271186.0,96166.0,214740.0,13060.0,1,2021-10-25,0,0
20000209,0.05,119113.16,119113.21,12698.0,290009.0,194412.0,1229956.0,641568.0,683984.0,19441.0,1,2021-10-07,0,0
20000210,245.58,4497.87,4743.45,6431.0,111854.0,85922.0,16651.0,4031.0,38551.0,18902.0,1,2021-08-10,0,0
20000211,228.57,4304.44,4533.01,6924.0,130233.0,103088.0,16096.0,21621.0,21619.0,25772.0,1,2021-05-05,0,0
